acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439814505.050	14:28:25 17/08/2015		9.599980E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814505.997	14:28:25 17/08/2015		9.299980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814507.010	14:28:27 17/08/2015		9.399980E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814508.010	14:28:28 17/08/2015		9.399980E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814509.010	14:28:29 17/08/2015		9.799979E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814510.010	14:28:30 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814511.010	14:28:31 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814512.020	14:28:32 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814513.020	14:28:33 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814514.020	14:28:34 17/08/2015		9.999992E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814514.916	14:28:34 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814515.916	14:28:35 17/08/2015		9.899980E-9	-1.00000000	5.099989E-9	8.5694	0.3472	
1439814517.100	14:28:37 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814518.118	14:28:38 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814519.029	14:28:39 17/08/2015		9.899980E-9	5.099989E-9	5.199989E-9	8.5694	0.3472	
1439814520.029	14:28:40 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814521.029	14:28:41 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814522.029	14:28:42 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814523.029	14:28:43 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814523.974	14:28:43 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814524.991	14:28:44 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814526.009	14:28:46 17/08/2015		9.899980E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814527.009	14:28:47 17/08/2015		9.899980E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814528.009	14:28:48 17/08/2015		9.899980E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814528.932	14:28:48 17/08/2015		9.799979E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814529.932	14:28:49 17/08/2015		9.899980E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814530.832	14:28:50 17/08/2015		9.699980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814531.832	14:28:51 17/08/2015		9.499980E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814532.832	14:28:52 17/08/2015		9.299980E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814533.845	14:28:53 17/08/2015		9.299980E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814534.783	14:28:54 17/08/2015		9.299980E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814535.783	14:28:55 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439814536.783	14:28:56 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814537.789	14:28:57 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814538.789	14:28:58 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814539.789	14:28:59 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814540.789	14:29:00 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5694	0.3472	
1439814541.789	14:29:01 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814542.799	14:29:02 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5694	0.3472	
1439814543.799	14:29:03 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814544.799	14:29:04 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5694	0.3472	
1439814545.799	14:29:05 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
1439814546.798	14:29:06 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5694	0.3472	
1439814547.801	14:29:07 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5694	0.3472	
1439814548.801	14:29:08 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5694	0.3472	
			
