acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	VGHB_41752(°C)	
1439395363.494	20150812_180243		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395363.694	20150812_180243		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395363.895	20150812_180243		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395364.093	20150812_180244		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395364.319	20150812_180244		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395364.519	20150812_180244		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395364.719	20150812_180244		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395364.994	20150812_180244		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395365.194	20150812_180245		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.200000E-8	
1439395365.396	20150812_180245		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395365.595	20150812_180245		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395365.796	20150812_180245		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395366.018	20150812_180246		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395366.218	20150812_180246		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.199999E-8	1.099999E-8	1.100000E-8	
1439395366.417	20150812_180246		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395366.618	20150812_180246		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395366.821	20150812_180246		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395367.098	20150812_180247		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395367.298	20150812_180247		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395367.497	20150812_180247		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395367.699	20150812_180247		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395367.898	20150812_180247		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395368.123	20150812_180248		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395368.323	20150812_180248		1.400000E-8	1.000000E+4	6.399987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.200000E-8	
1439395368.601	20150812_180248		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395368.800	20150812_180248		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395369.000	20150812_180249		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395369.201	20150812_180249		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	1.099999E-8	1.099999E-8	1.100000E-8	
1439395369.400	20150812_180249		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395369.624	20150812_180249		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395369.825	20150812_180249		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395370.026	20150812_180250		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395370.300	20150812_180250		1.400000E-8	1.000000E+4	6.299987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395370.500	20150812_180250		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395370.701	20150812_180250		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395370.900	20150812_180250		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395371.101	20150812_180251		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395371.326	20150812_180251		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395371.603	20150812_180251		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395371.803	20150812_180251		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395372.004	20150812_180252		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395372.204	20150812_180252		1.300000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.200000E-8	
1439395372.404	20150812_180252		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
1439395372.628	20150812_180252		1.400000E-8	1.000000E+4	6.199987E-9	1.000000E-9	9.999992E-9	1.099999E-8	1.100000E-8	
