acqUNIXTime	acqDateTimestamp	VAC.VVSB_41731(mbar)	VAC.VGI_3(mbar)	VAC.VVSB_41737(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439820659.369	16:10:59 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820660.369	16:11:00 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820661.369	16:11:01 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820662.369	16:11:02 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.299989E-9	8.5787	0.3472	
1439820663.369	16:11:03 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820664.369	16:11:04 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.299989E-9	8.5787	0.3472	
1439820665.368	16:11:05 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820666.368	16:11:06 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.4051	
1439820667.368	16:11:07 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820668.368	16:11:08 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820669.368	16:11:09 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820670.368	16:11:10 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820671.368	16:11:11 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820672.368	16:11:12 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820673.368	16:11:13 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820674.368	16:11:14 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820675.368	16:11:15 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820676.368	16:11:16 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820677.368	16:11:17 17/08/2015		3.000000E+0	9.499980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820678.368	16:11:18 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820679.368	16:11:19 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820680.368	16:11:20 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820681.368	16:11:21 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820682.368	16:11:22 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820683.367	16:11:23 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820684.367	16:11:24 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820685.367	16:11:25 17/08/2015		3.000000E+0	9.599980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820686.367	16:11:26 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820687.367	16:11:27 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820688.367	16:11:28 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820689.367	16:11:29 17/08/2015		3.000000E+0	9.899980E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
1439820690.367	16:11:30 17/08/2015		3.000000E+0	9.799979E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820691.367	16:11:31 17/08/2015		3.000000E+0	9.399980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820692.367	16:11:32 17/08/2015		3.000000E+0	9.699980E-9	5.000000E+0	5.099989E-9	8.5787	0.3472	
1439820693.367	16:11:33 17/08/2015		3.000000E+0	9.999992E-9	5.000000E+0	5.199989E-9	8.5787	0.3472	
