acqUNIXTime	acqDateTimestamp	VAC.VGI_3(mbar)	VAC.VGHB_41740(mbar)	VAC.VGI_2(mbar)	TT900(°C)	TT909(°C)	
1439817891.563	15:24:51 17/08/2015		9.899980E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817892.563	15:24:52 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817893.563	15:24:53 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817894.563	15:24:54 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817895.563	15:24:55 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817896.563	15:24:56 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817897.489	15:24:57 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817898.489	15:24:58 17/08/2015		9.799979E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817899.497	15:24:59 17/08/2015		9.899980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817900.497	15:25:00 17/08/2015		9.999992E-9	5.099989E-9	5.099989E-9	8.5787	0.3472	
1439817901.497	15:25:01 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817902.448	15:25:02 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817903.391	15:25:03 17/08/2015		9.699980E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817904.391	15:25:04 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817905.391	15:25:05 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817906.309	15:25:06 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817907.255	15:25:07 17/08/2015		9.799979E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817908.255	15:25:08 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817909.255	15:25:09 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817910.255	15:25:10 17/08/2015		9.999992E-9	5.099989E-9	-1.00000000	8.5787	0.3472	
1439817911.255	15:25:11 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817912.255	15:25:12 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817913.255	15:25:13 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817914.255	15:25:14 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817915.255	15:25:15 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817916.255	15:25:16 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817917.255	15:25:17 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817918.255	15:25:18 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817919.255	15:25:19 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817920.154	15:25:20 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817921.094	15:25:21 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817922.094	15:25:22 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817923.094	15:25:23 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817924.094	15:25:24 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817925.031	15:25:25 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817925.971	15:25:25 17/08/2015		9.599980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817926.996	15:25:26 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817927.996	15:25:27 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817928.996	15:25:28 17/08/2015		9.999992E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817929.996	15:25:29 17/08/2015		9.799979E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817930.920	15:25:30 17/08/2015		9.899980E-9	5.199989E-9	5.199989E-9	8.5787	0.3472	
1439817931.860	15:25:31 17/08/2015		9.999992E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817932.860	15:25:32 17/08/2015		9.699980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817933.860	15:25:33 17/08/2015		9.899980E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817934.771	15:25:34 17/08/2015		9.899980E-9	5.199989E-9	-1.00000000	8.5787	0.3472	
1439817935.771	15:25:35 17/08/2015		9.999992E-9	-1.00000000	5.199989E-9	8.5787	0.3472	
1439817936.771	15:25:36 17/08/2015		9.899980E-9	-1.00000000	5.299989E-9	8.5787	0.3472	
1439817937.770	15:25:37 17/08/2015		9.899980E-9	-1.00000000	5.299989E-9	8.5787	0.3472	
1439817938.770	15:25:38 17/08/2015		9.499980E-9	-1.00000000	5.299989E-9	8.5787	0.3472	
1439817939.770	15:25:39 17/08/2015		9.699980E-9	-1.00000000	5.299989E-9	8.5787	0.3472	
1439817940.733	15:25:40 17/08/2015		9.699980E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817941.733	15:25:41 17/08/2015		9.999992E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817942.749	15:25:42 17/08/2015		9.999992E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817943.749	15:25:43 17/08/2015		9.899980E-9	5.299989E-9	5.299989E-9	8.5787	0.3472	
1439817944.749	15:25:44 17/08/2015		9.999992E-9	5.299989E-9	5.299989E-9	8.5787	0.3472	
1439817945.749	15:25:45 17/08/2015		9.999992E-9	5.299989E-9	5.299989E-9	8.5787	0.3472	
1439817946.749	15:25:46 17/08/2015		9.999992E-9	-1.00000000	-1.00000000	8.5787	0.3472	
1439817947.749	15:25:47 17/08/2015		9.999992E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817948.706	15:25:48 17/08/2015		9.999992E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817949.653	15:25:49 17/08/2015		9.899980E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817950.625	15:25:50 17/08/2015		9.799979E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817951.626	15:25:51 17/08/2015		9.699980E-9	-1.00000000	5.299989E-9	8.5787	0.3472	
1439817952.558	15:25:52 17/08/2015		9.699980E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817953.499	15:25:53 17/08/2015		9.899980E-9	5.299989E-9	-1.00000000	8.5787	0.3472	
1439817954.445	15:25:54 17/08/2015		9.999992E-9	5.299989E-9	5.299989E-9	8.5787	0.3472	
