acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	VGHB_41740(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	VGI_1(°C)	
1439373770.376	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373770.576	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373770.776	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373770.978	20150812_120250		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373771.178	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.600000E-10	1.199999E-8	1.099999E-8	
1439373771.376	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373771.578	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373771.776	20150812_120251		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373772.003	20150812_120252		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373772.257	20150812_120252		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373772.457	20150812_120252		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373772.657	20150812_120252		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373772.859	20150812_120252		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373773.059	20150812_120253		1.400000E-8	1.000000E+4	6.099987E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373773.278	20150812_120253		9.600000E-10	1.000000E+4	9.600000E-10	9.600000E-10	1.099999E-8	1.099999E-8	
1439373773.558	20150812_120253		1.400000E-8	1.000000E+4	5.999988E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373773.759	20150812_120253		1.400000E-8	1.000000E+4	5.999988E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373773.958	20150812_120253		1.400000E-8	1.000000E+4	5.999988E-9	9.600000E-10	1.099999E-8	1.099999E-8	
1439373774.159	20150812_120254		1.400000E-8	1.000000E+4	9.700000E-10	9.700000E-10	1.099999E-8	9.700000E-10	
1439373774.358	20150812_120254		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373774.581	20150812_120254		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
1439373774.780	20150812_120254		1.400000E-8	1.000000E+4	5.999988E-9	9.700000E-10	1.099999E-8	1.099999E-8	
