acqUNIXTime	acqDateTimestamp	VGHB_41738(mbar)	(mbar)	VGI_2(°C)	VGHB_41779(°C)	VAC.VGI_3(°C)	(°C)	
1439396469.836	20150812_182109		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396470.237	20150812_182110		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396470.637	20150812_182110		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396471.040	20150812_182111		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396471.439	20150812_182111		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396471.841	20150812_182111		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396472.140	20150812_182112		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396472.454	20150812_182112		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396472.854	20150812_182112		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396473.155	20150812_182113		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396473.456	20150812_182113		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396473.856	20150812_182113		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396474.241	20150812_182114		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396474.642	20150812_182114		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396475.043	20150812_182115		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396475.444	20150812_182115		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396475.844	20150812_182115		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396476.144	20150812_182116		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396476.545	20150812_182116		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396476.945	20150812_182116		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396477.348	20150812_182117		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396477.746	20150812_182117		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396478.148	20150812_182118		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396478.547	20150812_182118		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396478.847	20150812_182118		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396479.156	20150812_182119		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396479.562	20150812_182119		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396479.946	20150812_182119		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396480.346	20150812_182120		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396480.746	20150812_182120		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396481.147	20150812_182121		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396481.547	20150812_182121		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396481.948	20150812_182121		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396482.347	20150812_182122		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396482.748	20150812_182122		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396483.148	20150812_182123		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396483.549	20150812_182123		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396483.949	20150812_182123		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396484.348	20150812_182124		1.400000E-8	6.299987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396484.748	20150812_182124		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396485.150	20150812_182125		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396485.551	20150812_182125		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396485.952	20150812_182125		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396486.351	20150812_182126		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396486.752	20150812_182126		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396487.152	20150812_182127		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396487.553	20150812_182127		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396487.952	20150812_182127		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396488.352	20150812_182128		1.300000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396488.753	20150812_182128		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396489.152	20150812_182129		1.400000E-8	6.199987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396489.552	20150812_182129		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396489.953	20150812_182129		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396490.353	20150812_182130		1.400000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396490.652	20150812_182130		1.300000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396491.052	20150812_182131		1.300000E-8	6.299987E-9	1.000000E-9	9.999992E-9	8.5556	292.4036	
1439396491.453	20150812_182131		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396491.853	20150812_182131		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396492.254	20150812_182132		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396492.652	20150812_182132		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396493.055	20150812_182133		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396493.455	20150812_182133		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396493.856	20150812_182133		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396494.257	20150812_182134		1.400000E-8	6.399987E-9	1.000000E-9	1.199999E-8	8.5556	292.4036	
1439396494.655	20150812_182134		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396495.056	20150812_182135		1.400000E-8	6.299987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396495.457	20150812_182135		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396495.857	20150812_182135		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396496.257	20150812_182136		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396496.658	20150812_182136		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
1439396496.958	20150812_182136		1.400000E-8	6.399987E-9	1.000000E-9	1.099999E-8	8.5556	292.4036	
