acqUNIXTime	acqDateTimestamp	VAC.VGHB_41779(°C)	VAC.VGI_1(°C)	VAC.VGHB_41740(mbar)	VAC.VGI_2(°C)	(mbar)	
1439642770.909	20150815_144610		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642771.909	20150815_144611		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642772.913	20150815_144612		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642773.921	20150815_144613		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642774.931	20150815_144614		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642775.936	20150815_144615		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642776.935	20150815_144616		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642777.935	20150815_144617		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642778.939	20150815_144618		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642779.945	20150815_144619		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642780.945	20150815_144620		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642781.945	20150815_144621		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642782.950	20150815_144622		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642783.950	20150815_144623		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642784.950	20150815_144624		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642785.950	20150815_144625		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642786.954	20150815_144626		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642787.954	20150815_144627		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642788.954	20150815_144628		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642789.954	20150815_144629		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642790.954	20150815_144630		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642791.958	20150815_144631		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642792.958	20150815_144632		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642793.957	20150815_144633		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642794.957	20150815_144634		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642795.963	20150815_144635		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642797.933	20150815_144637		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642798.940	20150815_144638		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642799.944	20150815_144639		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642800.949	20150815_144640		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
1439642801.953	20150815_144641		0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.5556	
