CommTime	UNIX timestamp		Time (ms)		VAC.VGI_1/PR (mbar)
16.000000	3520403159196		15.000000			1.399999E-8
15.000000	3520403159213		16.000000			1.399999E-8
14.000000	3520403159228		15.000000			1.399999E-8
16.000000	3520403159242		14.000000			1.399999E-8
15.000000	3520403159258		16.000000			1.399999E-8
14.000000	3520403159273		15.000000			1.399999E-8
14.000000	3520403159288		15.000000			1.399999E-8
15.000000	3520403159302		14.000000			1.399999E-8
14.000000	3520403159317		15.000000			1.399999E-8
15.000000	3520403159331		14.000000			1.399999E-8
16.000000	3520403159346		15.000000			1.399999E-8
23.000000	3520403159361		16.000000			1.399999E-8
15.000000	3520403159385		23.000000			1.399999E-8
14.000000	3520403159400		15.000000			1.399999E-8
15.000000	3520403159414		14.000000			1.399999E-8
17.000000	3520403159429		15.000000			1.399999E-8
14.000000	3520403159445		17.000000			1.399999E-8
15.000000	3520403159461		15.000000			1.399999E-8
15.000000	3520403159476		15.000000			1.399999E-8
18.000000	3520403159491		15.000000			1.399999E-8
14.000000	3520403159509		18.000000			1.399999E-8
15.000000	3520403159523		14.000000			1.399999E-8
16.000000	3520403159538		15.000000			1.399999E-8
18.000000	3520403159554		16.000000			1.399999E-8
16.000000	3520403159571		18.000000			1.399999E-8
15.000000	3520403159588		16.000000			1.399999E-8
14.000000	3520403159603		15.000000			1.399999E-8
18.000000	3520403159617		14.000000			1.399999E-8
16.000000	3520403159635		18.000000			1.399999E-8
15.000000	3520403159651		16.000000			1.399999E-8
15.000000	3520403159667		16.000000			1.399999E-8
15.000000	3520403159682		15.000000			1.399999E-8
16.000000	3520403159696		15.000000			1.399999E-8
19.000000	3520403159713		16.000000			1.399999E-8
16.000000	3520403159732		19.000000			1.399999E-8
16.000000	3520403159748		16.000000			1.399999E-8
16.000000	3520403159764		16.000000			1.399999E-8
16.000000	3520403159780		16.000000			1.399999E-8
17.000000	3520403159796		16.000000			1.399999E-8
14.000000	3520403159813		17.000000			1.399999E-8
21.000000	3520403212596		15.000000			1.399999E-8
15.000000	3520403212618		21.000000			1.399999E-8
15.000000	3520403212632		15.000000			1.399999E-8
15.000000	3520403212647		15.000000			1.399999E-8
15.000000	3520403212663		15.000000			1.399999E-8
15.000000	3520403212677		15.000000			1.399999E-8
14.000000	3520403212692		15.000000			1.399999E-8
16.000000	3520403212707		14.000000			1.399999E-8
14.000000	3520403212722		16.000000			1.399999E-8
16.000000	3520403212737		14.000000			1.399999E-8
15.000000	3520403212753		17.000000			1.399999E-8
15.000000	3520403212768		15.000000			1.399999E-8
16.000000	3520403212784		15.000000			1.399999E-8
15.000000	3520403212799		16.000000			1.399999E-8
15.000000	3520403212814		15.000000			1.399999E-8
16.000000	3520403212830		15.000000			1.399999E-8
15.000000	3520403212845		16.000000			1.399999E-8
15.000000	3520403212860		15.000000			1.399999E-8
15.000000	3520403212875		15.000000			1.399999E-8
15.000000	3520403212891		16.000000			1.399999E-8
15.000000	3520403212907		15.000000			1.399999E-8
15.000000	3520403212922		16.000000			1.399999E-8
16.000000	3520403212937		15.000000			1.399999E-8
16.000000	3520403212954		16.000000			1.399999E-8
16.000000	3520403212970		17.000000			1.399999E-8
16.000000	3520403212986		16.000000			1.399999E-8
16.000000	3520403213002		16.000000			1.399999E-8
14.000000	3520403213018		16.000000			1.399999E-8
16.000000	3520403213033		14.000000			1.399999E-8
14.000000	3520403213048		16.000000			1.399999E-8
15.000000	3520403213062		14.000000			1.399999E-8
14.000000	3520403213078		15.000000			1.399999E-8
21.000000	3520403213091		14.000000			1.399999E-8
29.000000	3520403213113		21.000000			1.399999E-8
15.000000	3520403213141		29.000000			1.399999E-8
20.000000	3520403213157		15.000000			1.399999E-8
17.000000	3520403213176		20.000000			1.399999E-8
15.000000	3520403213193		17.000000			1.399999E-8
14.000000	3520403213208		15.000000			1.399999E-8
16.000000	3520403213222		14.000000			1.399999E-8
16.000000	3520403213239		16.000000			1.399999E-8
15.000000	3520403213255		17.000000			1.399999E-8
15.000000	3520403213270		15.000000			1.399999E-8
16.000000	3520403213286		15.000000			1.399999E-8
14.000000	3520403213301		16.000000			1.399999E-8
14.000000	3520403213315		14.000000			1.399999E-8
15.000000	3520403213331		15.000000			1.399999E-8
15.000000	3520403213345		15.000000			1.399999E-8
15.000000	3520403213360		15.000000			1.399999E-8
15.000000	3520403213375		15.000000			1.399999E-8
13.000000	3520403213390		15.000000			1.399999E-8
17.000000	3520403213404		13.000000			1.399999E-8
15.000000	3520403213420		17.000000			1.399999E-8
14.000000	3520403213436		15.000000			1.399999E-8
15.000000	3520403213451		14.000000			1.399999E-8
15.000000	3520403213466		15.000000			1.399999E-8
13.000000	3520403213481		15.000000			1.399999E-8
15.000000	3520403213495		13.000000			1.399999E-8
17.000000	3520403213509		15.000000			1.399999E-8
14.000000	3520403213526		17.000000			1.399999E-8
15.000000	3520403213540		14.000000			1.399999E-8
15.000000	3520403213555		15.000000			1.399999E-8
15.000000	3520403213571		15.000000			1.399999E-8
14.000000	3520403213585		15.000000			1.399999E-8
14.000000	3520403213600		14.000000			1.399999E-8
16.000000	3520403213615		14.000000			1.399999E-8
16.000000	3520403213630		16.000000			1.399999E-8
15.000000	3520403213646		16.000000			1.399999E-8
14.000000	3520403213662		15.000000			1.399999E-8
16.000000	3520403213675		14.000000			1.399999E-8
14.000000	3520403213691		16.000000			1.399999E-8
17.000000	3520403219371		14.000000			1.399999E-8
15.000000	3520403219388		17.000000			1.399999E-8
19.000000	3520403219403		15.000000			1.399999E-8
23.000000	3520403219422		19.000000			1.399999E-8
32.000000	3520403219445		23.000000			1.399999E-8
22.000000	3520403219478		33.000000			1.399999E-8
16.000000	3520403219500		22.000000			1.399999E-8
16.000000	3520403219516		16.000000			1.399999E-8
32.000000	3520403219532		16.000000			1.399999E-8
31.000000	3520403219564		32.000000			1.399999E-8
16.000000	3520403219595		31.000000			1.399999E-8
30.000000	3520403219610		16.000000			1.399999E-8
15.000000	3520403219641		30.000000			1.399999E-8
16.000000	3520403219656		15.000000			1.399999E-8
15.000000	3520403219672		16.000000			1.399999E-8
15.000000	3520403219688		16.000000			1.399999E-8
16.000000	3520403219703		15.000000			1.399999E-8
16.000000	3520403219719		16.000000			1.399999E-8
15.000000	3520403219734		16.000000			1.399999E-8
16.000000	3520403219750		15.000000			1.399999E-8
15.000000	3520403219766		16.000000			1.399999E-8
16.000000	3520403219781		15.000000			1.399999E-8
16.000000	3520403219797		16.000000			1.399999E-8
16.000000	3520403219813		16.000000			1.399999E-8
27.000000	3520403219829		16.000000			1.399999E-8
15.000000	3520403219855		27.000000			1.399999E-8
18.000000	3520403219871		15.000000			1.399999E-8
15.000000	3520403219889		18.000000			1.399999E-8
16.000000	3520403219905		16.000000			1.399999E-8
18.000000	3520403219921		16.000000			1.399999E-8
16.000000	3520403219938		18.000000			1.399999E-8
20.000000	3520403219955		16.000000			1.399999E-8
14.000000	3520403219975		20.000000			1.399999E-8
16.000000	3520403219989		14.000000			1.399999E-8
17.000000	3520403220005		16.000000			1.399999E-8
15.000000	3520403220021		17.000000			1.399999E-8
14.000000	3520403220037		15.000000			1.399999E-8
16.000000	3520403220051		14.000000			1.399999E-8
27.000000	3520403220066		16.000000			1.399999E-8
17.000000	3520403220095		28.000000			1.399999E-8
15.000000	3520403220112		17.000000			1.399999E-8
15.000000	3520403220127		15.000000			1.399999E-8
15.000000	3520403220142		15.000000			1.399999E-8
16.000000	3520403220157		15.000000			1.399999E-8
17.000000	3520403220173		16.000000			1.399999E-8
15.000000	3520403220189		17.000000			1.399999E-8
